300005;10.12.65.47;10.12.65.48;10.12.65.49;10.12.64.42;255.255.252.0;10.12.64.1;EZESPMARTGT041;
300006;10.12.65.50;10.12.65.51;10.12.65.52;10.12.64.43;255.255.252.0;10.12.64.1;EZESPMARTGT042;
300007;10.12.65.53;10.12.65.54;10.12.65.55;10.12.64.44;255.255.252.0;10.12.64.1;EZESPMARTGT043;
300008;10.12.65.56;10.12.65.57;10.12.65.58;10.12.64.45;255.255.252.0;10.12.64.1;EZESPMARTGT044;
300009;10.12.65.59;10.12.65.60;10.12.65.61;10.12.64.46;255.255.252.0;10.12.64.1;EZESPMARTGT045;
300010;10.12.65.62;10.12.65.63;10.12.65.64;10.12.64.47;255.255.252.0;10.12.64.1;EZESPMARTGT046;
300011;10.12.65.65;10.12.65.66;10.12.65.67;10.12.64.48;255.255.252.0;10.12.64.1;EZESPMARTGT047;
300012;10.12.65.68;10.12.65.69;10.12.65.70;10.12.64.49;255.255.252.0;10.12.64.1;EZESPMARTGT048;
300013;10.12.65.71;10.12.65.72;10.12.65.73;10.12.64.50;255.255.252.0;10.12.64.1;EZESPMARTGT049;
300014;10.12.65.74;10.12.65.75;10.12.65.76;10.12.64.51;255.255.252.0;10.12.64.1;EZESPMARTGT050;
300015;10.12.65.77;10.12.65.78;10.12.65.79;10.12.64.52;255.255.252.0;10.12.64.1;EZESPMARTGT051;
300016;10.12.65.80;10.12.65.81;10.12.65.82;10.12.64.53;255.255.252.0;10.12.64.1;EZESPMARTGT052;
300017;10.12.65.83;10.12.65.84;10.12.65.85;10.12.64.54;255.255.252.0;10.12.64.1;EZESPMARTGT053;
300018;10.12.65.86;10.12.65.87;10.12.65.88;10.12.64.55;255.255.252.0;10.12.64.1;EZESPMARTGT054;
400001;10.12.65.89;10.12.65.90;10.12.65.91;10.12.64.56;255.255.252.0;10.12.64.1;EZESPMARTGT055;
400002;10.12.65.92;10.12.65.93;10.12.65.94;10.12.64.57;255.255.252.0;10.12.64.1;EZESPMARTGT056;
400003;10.12.65.95;10.12.65.96;10.12.65.97;10.12.64.58;255.255.252.0;10.12.64.1;EZESPMARTGT057;
400004;10.12.65.98;10.12.65.99;10.12.65.100;10.12.64.59;255.255.252.0;10.12.64.1;EZESPMARTGT058;
400005;10.12.65.101;10.12.65.102;10.12.65.103;10.12.64.60;255.255.252.0;10.12.64.1;EZESPMARTGT059;
400006;10.12.65.104;10.12.65.105;10.12.65.106;10.12.64.61;255.255.252.0;10.12.64.1;EZESPMARTGT060;
400007;10.12.65.107;10.12.65.108;10.12.65.109;10.12.64.62;255.255.252.0;10.12.64.1;EZESPMARTGT061;
400008;10.12.65.110;10.12.65.111;10.12.65.112;10.12.64.63;255.255.252.0;10.12.64.1;EZESPMARTGT062;
400009;10.12.65.113;10.12.65.114;10.12.65.115;10.12.64.64;255.255.252.0;10.12.64.1;EZESPMARTGT063;
400010;10.12.65.116;10.12.65.117;10.12.65.118;10.12.64.65;255.255.252.0;10.12.64.1;EZESPMARTGT064;
400011;10.12.65.119;10.12.65.120;10.12.65.121;10.12.64.66;255.255.252.0;10.12.64.1;EZESPMARTGT065;
400012;10.12.65.122;10.12.65.123;10.12.65.124;10.12.64.67;255.255.252.0;10.12.64.1;EZESPMARTGT066;
400013;10.12.65.125;10.12.65.126;10.12.65.127;10.12.64.68;255.255.252.0;10.12.64.1;EZESPMARTGT067;
